,laptop_ID,Company,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Memory_Type
1109,1124,1104.1693670886077,1731.3806341463417,15.6,1595.7791081593928,16,128,1651.3279574468086,1168.1394776119403,2.59,1339.0,1388.7893357058124
1110,1125,1067.7748540145985,782.0786244841817,13.3,1324.2315789473685,8,256,969.882738654147,1168.1394776119403,1.16,1699.0,1388.7893357058124
1111,1126,1186.06898989899,782.0786244841817,15.6,1015.0152482269503,4,500,588.5527777777778,1686.6513333333332,2.24,769.15,655.29776
1112,1127,1086.3844444444444,782.0786244841817,15.6,541.625955882353,4,128,969.882738654147,1168.1394776119403,2.1,429.0,1388.7893357058124
1113,1128,1067.7748540145985,1548.2303571428572,13.3,1595.7791081593928,8,512,969.882738654147,1168.1394776119403,1.16,1969.0,1388.7893357058124
1114,1129,1086.3844444444444,1282.401652892562,10.1,498.3175,4,64,969.882738654147,434.0,0.69,549.0,527.6082666666667
1115,1130,1186.06898989899,1548.2303571428572,13.3,1595.7791081593928,8,256,1795.569,1168.1394776119403,1.23,1379.0,1388.7893357058124
1116,1131,1086.3844444444444,1731.3806341463417,17.3,1595.7791081593928,16,256,1651.3279574468086,1168.1394776119403,4.6,2749.99,1388.7893357058124
1117,1132,3346.1428571428573,1548.2303571428572,12.5,1595.7791081593928,8,256,969.882738654147,1168.1394776119403,1.25,1029.0,1388.7893357058124
1118,1133,1267.8125,1548.2303571428572,13.3,1595.7791081593928,16,512,969.882738654147,1168.1394776119403,1.05,2226.0,1388.7893357058124
1119,1134,1104.1693670886077,1731.3806341463417,17.3,1595.7791081593928,8,128,1651.3279574468086,1168.1394776119403,3.52,1312.49,1388.7893357058124
1120,1135,217.425,782.0786244841817,13.3,203.4,4,32,969.882738654147,1168.1394776119403,1.35,196.0,527.6082666666667
1121,1136,1067.7748540145985,782.0786244841817,13.3,1015.0152482269503,8,256,969.882738654147,1168.1394776119403,1.16,1690.0,1388.7893357058124
1122,1137,1067.7748540145985,782.0786244841817,14.0,1015.0152482269503,8,256,969.882738654147,1686.6513333333332,1.43,1513.0,1388.7893357058124
1123,1138,1186.06898989899,782.0786244841817,15.6,1015.0152482269503,4,500,969.882738654147,617.0688709677419,2.09,523.63,655.29776
1124,1139,1104.1693670886077,782.0786244841817,15.6,541.625955882353,4,1024,969.882738654147,1168.1394776119403,2.0,435.0,655.29776
1125,1140,1086.3844444444444,1282.401652892562,14.0,1595.7791081593928,8,256,969.882738654147,1168.1394776119403,1.8,1669.0,1388.7893357058124
1126,1141,1086.3844444444444,1282.401652892562,10.1,498.3175,4,64,969.882738654147,1168.1394776119403,0.69,479.0,527.6082666666667
1127,1142,1067.7748540145985,1548.2303571428572,12.5,1015.0152482269503,8,256,969.882738654147,1686.6513333333332,1.26,1895.0,1388.7893357058124
1128,1143,1086.3844444444444,1731.3806341463417,15.6,1015.0152482269503,8,128,1651.3279574468086,587.9733333333334,2.4,989.0,1388.7893357058124
1129,1144,1067.7748540145985,1731.3806341463417,17.3,1015.0152482269503,8,128,1651.3279574468086,1168.1394776119403,3.35,1129.0,1388.7893357058124
1130,1145,1067.7748540145985,782.0786244841817,15.6,1595.7791081593928,8,2048,969.882738654147,1168.1394776119403,2.04,629.0,655.29776
1131,1146,1086.3844444444444,1282.401652892562,14.0,1595.7791081593928,8,512,2050.38,1686.6513333333332,1.8,2050.38,1388.7893357058124
1132,1147,1104.1693670886077,782.0786244841817,14.0,312.236375,4,32,969.882738654147,1168.1394776119403,1.5,278.0,527.6082666666667
1133,1148,1067.7748540145985,1548.2303571428572,15.6,1595.7791081593928,8,256,969.882738654147,1168.1394776119403,1.84,752.0,1388.7893357058124
1134,1149,626.7758252427184,782.0786244841817,15.6,1015.0152482269503,4,1024,935.683023255814,1168.1394776119403,2.23,616.0,655.29776
1135,1150,1086.3844444444444,782.0786244841817,15.6,1595.7791081593928,16,1024,796.1311538461539,1168.1394776119403,2.5,1099.0,810.746
1136,1151,1067.7748540145985,2280.3589655172414,17.3,1595.7791081593928,8,256,3949.4,1686.6513333333332,3.0,3949.4,1388.7893357058124
1137,1153,1186.06898989899,782.0786244841817,15.6,1015.0152482269503,8,1024,796.1311538461539,1168.1394776119403,2.5,784.0,655.29776
1138,1154,1728.908148148148,1731.3806341463417,17.3,1595.7791081593928,16,256,1651.3279574468086,1168.1394776119403,3.78,2399.0,1388.7893357058124
1139,1155,1067.7748540145985,1548.2303571428572,15.6,1595.7791081593928,8,256,969.882738654147,1686.6513333333332,1.88,2171.72,1388.7893357058124
1140,1156,1086.3844444444444,1282.401652892562,14.0,1595.7791081593928,16,512,969.882738654147,1168.1394776119403,2.8,2440.0,1388.7893357058124
